미국 USD|1,197.50|1,218.45|1,176.55|1,209.20|1,185.80|2.278|1.000
유럽연합 EUR|1,339.64|1,366.29|1,312.99|1,353.03|1,326.25|1.738|1.119
일본 JPY (100엔)|1,024.29|1,042.21|1,006.37|1,034.32|1,014.26|1.982|0.855
중국 CNY|182.05|194.79|172.95|183.87|180.23|7.368|0.152
홍콩 HKD|153.70|156.75|150.65|155.23|152.17|2.375|0.128
대만 TWD|36.08|38.96|34.28|0.00|0.00|N/A|0.030
영국 GBP|1,739.01|1,773.61|1,704.41|1,756.40|1,721.62|2.486|1.452
오만 OMR|3,111.20|3,297.87|2,924.53|0.00|0.00|N/A|2.598
캐나다 CAD|872.11|889.46|854.76|880.83|863.39|2.585|0.728
스위스 CHF|1,206.18|1,230.18|1,182.18|1,218.24|1,194.12|1.194|1.007
스웨덴 SEK|142.38|145.93|138.83|143.80|140.96|1.525|0.119
호주 AUD|860.04|877.15|842.93|868.64|851.44|4.275|0.718
뉴질랜드 NZD|801.61|817.56|785.66|809.62|793.60|4.775|0.669
체코 CZK|49.54|53.00|45.09|50.08|49.00|1.925|0.041
칠레 CLP|1.72|1.85|1.59|0.00|0.00|N/A|0.001
터키 TRY|410.50|443.34|377.66|415.01|405.99|13.575|0.343
몽골 MNT|0.59|0.68|0.46|0.00|0.00|N/A|0.001
이스라엘 ILS|308.12|320.44|283.48|0.00|0.00|N/A|0.257
덴마크 DKK|179.51|183.99|175.03|181.30|177.72|1.685|0.150
노르웨이 NOK|140.35|143.85|136.85|141.75|138.95|2.965|0.117
사우디아라비아 SAR|319.29|332.06|293.75|322.48|316.10|3.475|0.267
쿠웨이트 KWD|3,982.37|4,141.66|3,663.79|4,022.19|3,942.55|3.725|3.326
바레인 BHD|3,175.55|3,302.57|2,921.51|3,207.30|3,143.80|3.425|2.652
아랍에미리트 AED|326.04|339.08|299.96|329.30|322.78|2.525|0.272
요르단 JOD|1,691.38|1,759.03|1,556.07|0.00|0.00|N/A|1.412
이집트 EGP|152.94|159.05|140.71|0.00|0.00|N/A|0.128
태국 THB|33.74|35.76|31.72|34.07|33.41|3.495|0.028
싱가포르 SGD|855.97|877.36|834.58|864.52|847.42|3.100|0.715
말레이시아 MYR|287.93|305.20|270.66|0.00|0.00|N/A|0.240
인도네시아 IDR 100|8.81|9.51|7.76|8.89|8.73|9.475|0.007
카타르 QAR|328.90|355.21|302.59|0.00|0.00|N/A|0.275
카자흐스탄 KZT|3.28|3.67|2.89|3.31|3.25|1.000|0.003
브루나이 BND|855.97|890.20|804.62|0.00|0.00|N/A|0.715
인도 INR|17.69|18.92|15.93|0.00|0.00|N/A|0.015
파키스탄 PKR|11.41|11.86|10.05|0.00|0.00|N/A|0.010
방글라데시 BDT|15.24|15.84|13.42|0.00|0.00|N/A|0.013
필리핀 PHP|25.13|27.64|24.13|0.00|0.00|N/A|0.021
멕시코 MXN|65.62|68.24|57.75|66.27|64.97|5.214|0.055
브라질 BRL|307.88|339.28|283.25|311.57|304.19|15.223|0.257
베트남 VND 100|5.37|6.01|4.73|0.00|0.00|N/A|0.005
남아프리카 공화국 ZAR|75.25|79.76|69.23|76.15|74.35|9.275|0.063
러시아 RUB|15.48|16.56|13.63|15.63|15.33|13.715|0.013
헝가리 HUF|4.32|4.66|3.98|4.36|4.28|3.515|0.004
폴란드 PLN|303.15|327.40|278.90|306.48|299.82|3.575|0.253
